tf,ub,lb,fast,aa,bb,cc,dd,ee,ff,gg,hh,multiplier,net_profit,drawdown,score
950,1.6,0.3,80,3,2,3,5,6,10,12,15,60,0,0,7.046252182575623
910,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.04414920886346
980,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.02356190498024
980,1.4,0.2,80,5,2,3,5,6,10,12,15,60,0,0,7.016586735446365
890,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,7.013969718770683
940,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.988080841269897
870,1.7000000000000002,0.1,70,5,2,3,4,5,10,12,15,60,0,0,6.89876181558228
900,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.88939022047639
950,1.2000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,6.847713379690945
920,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.839195845344705
920,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.825386895543463
810,1.6,0.3,80,5,2,3,4,5,10,12,15,60,0,0,6.79119137184905
900,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.780619122087659
830,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.776583453232761
860,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.756165162879514
930,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.7165051527791935
900,2.9000000000000004,1.0,40,3,2,3,4,6,10,12,15,60,0,0,6.678610400233265
870,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,6.6696478771565975
970,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.649797498233161
860,1.7000000000000002,0.5,70,5,2,3,4,6,10,12,15,60,0,0,6.645672464600563
580,2.8000000000000003,0.3,80,4,2,3,4,5,10,12,15,60,0,0,6.620711375836002
970,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.599829598650906
930,1.5000000000000002,0.3,90,5,2,3,4,7,10,12,15,60,0,0,6.581533508154292
950,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.560652882159673
960,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,6.552797020274041
760,1.1,0.1,70,4,2,3,5,8,10,12,15,60,0,0,6.552787140057673
830,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,6.5334815546876674
